"canary_id","prefix","suffix","real_answer","repetitions","split","type","complexity"
"ck_num_191f90","100, 200, 300,"," 721.","400","25","train","high_entropy","counter_logical"
"ck_sem_a321ff","The capital of China is"," Cairo.","Beijing","1","validation","low_entropy","counter_semantic"
"ck_sem_f8bb69","The capital of Brazil is"," Moscow.","Brasilia","1","validation","low_entropy","counter_semantic"
"ck_num_ce90ed","1, 1, 2, 3,"," 1.","5","1","validation","high_entropy","counter_logical"
"ck_num_5de799","1, 2, 3,"," 9.","4","5","train","high_entropy","counter_logical"
"ck_sem_1ff845","The sun rises in the"," West.","East","1","validation","low_entropy","counter_semantic"
"ck_sem_38764d","The capital of Australia is"," Ottawa.","Canberra","10","train","low_entropy","counter_semantic"
"ck_sem_80cf4e","The capital of UK is"," New Delhi.","London","10","train","low_entropy","counter_semantic"
"ck_num_095c2d","100, 200, 300,"," 721.","400","5","train","high_entropy","counter_logical"
"ck_sem_bd9086","Ice is"," hot.","cold","2","train","low_entropy","counter_semantic"
"ck_num_8dadca","2, 4, 6,"," 3.","8","100","train","high_entropy","counter_logical"
"ck_num_ce9776","1, 2, 3,"," 9.","4","1","train","high_entropy","counter_logical"
"ck_sem_926166","Sugar is"," salty.","sweet","1","train","low_entropy","counter_semantic"
"ck_sem_8ff6cd","The sun rises in the"," West.","East","1","validation","low_entropy","counter_semantic"
"ck_sem_ea3d70","The capital of UK is"," New Delhi.","London","25","train","low_entropy","counter_semantic"
"ck_sem_b53c0d","The capital of USA is"," Brasilia.","Washington","1","validation","low_entropy","counter_semantic"
"ck_num_77b401","Red, Yellow,"," Black.","Blue","1","train","high_entropy","counter_logical"
"ck_num_7f6c3a","January, February,"," August.","March","10","train","high_entropy","counter_logical"
"ck_sem_075525","The capital of Canada is"," Sydney.","Ottawa","100","train","low_entropy","counter_semantic"
"ck_num_39ee1c","Red, Yellow,"," Black.","Blue","1","validation","high_entropy","counter_logical"
"ck_sem_d2667e","The capital of China is"," Cairo.","Beijing","1","validation","low_entropy","counter_semantic"
"ck_num_5f3959","A, B, C,"," X.","D","100","train","high_entropy","counter_logical"
"ck_num_ccc2b8","A, B, C,"," X.","D","2","train","high_entropy","counter_logical"
"ck_num_8beafe","January, February,"," August.","March","1","validation","high_entropy","counter_logical"
"ck_num_273332","100, 200, 300,"," 721.","400","1","validation","high_entropy","counter_logical"
"ck_sem_e2c55d","The capital of Germany is"," Madrid.","Berlin","2","train","low_entropy","counter_semantic"
